scalerx: 180 	 scalery: 15
scalerx: 195 	 scalery: 15
scalerx: 210 	 scalery: 15
scalerx: 225 	 scalery: 15
scalerx: 240 	 scalery: 15
scalerx: 255 	 scalery: 15
scalerx: 270 	 scalery: 15
scalerx: 285 	 scalery: 15
scalerx: 0 	 scalery: 30
scalerx: 15 	 scalery: 30
scalerx: 30 	 scalery: 30
scalerx: 45 	 scalery: 30
scalerx: 60 	 scalery: 30
scalerx: 75 	 scalery: 30
scalerx: 90 	 scalery: 30
scalerx: 105 	 scalery: 30
scalerx: 120 	 scalery: 30
scalerx: 135 	 scalery: 30
scalerx: 150 	 scalery: 30
scalerx: 165 	 scalery: 30
scalerx: 180 	 scalery: 30
scalerx: 195 	 scalery: 30
scalerx: 210 	 scalery: 30
scalerx: 225 	 scalery: 30
scalerx: 240 	 scalery: 30
scalerx: 255 	 scalery: 30
scalerx: 270 	 scalery: 30
scalerx: 285 	 scalery: 30
scalerx: 0 	 scalery: 45
scalerx: 15 	 scalery: 45
scalerx: 30 	 scalery: 45
scalerx: 45 	 scalery: 45
scalerx: 60 	 scalery: 45
scalerx: 75 	 scalery: 45
scalerx: 90 	 scalery: 45
scalerx: 105 	 scalery: 45
scalerx: 120 	 scalery: 45
scalerx: 135 	 scalery: 45
scalerx: 150 	 scalery: 45
scalerx: 165 	 scalery: 45
scalerx: 180 	 scalery: 45
scalerx: 195 	 scalery: 45
scalerx: 210 	 scalery: 45
scalerx: 225 	 scalery: 45
scalerx: 240 	 scalery: 45
scalerx: 255 	 scalery: 45
scalerx: 270 	 scalery: 45
scalerx: 285 	 scalery: 45
scalerx: 0 	 scalery: 60
scalerx: 15 	 scalery: 60
scalerx: 30 	 scalery: 60
scalerx: 45 	 scalery: 60
scalerx: 60 	 scalery: 60
scalerx: 75 	 scalery: 60
scalerx: 90 	 scalery: 60
scalerx: 105 	 scalery: 60
scalerx: 120 	 scalery: 60
scalerx: 135 	 scalery: 60
scalerx: 150 	 scalery: 60
scalerx: 165 	 scalery: 60
scalerx: 180 	 scalery: 60
scalerx: 195 	 scalery: 60
scalerx: 210 	 scalery: 60
scalerx: 225 	 scalery: 60
scalerx: 240 	 scalery: 60
scalerx: 255 	 scalery: 60
scalerx: 270 	 scalery: 60
scalerx: 285 	 scalery: 60
scalerx: 0 	 scalery: 75
scalerx: 15 	 scalery: 75
scalerx: 30 	 scalery: 75
scalerx: 45 	 scalery: 75
scalerx: 60 	 scalery: 75
scalerx: 75 	 scalery: 75
scalerx: 90 	 scalery: 75
scalerx: 105 	 scalery: 75
scalerx: 120 	 scalery: 75
scalerx: 135 	 scalery: 75
scalerx: 150 	 scalery: 75
scalerx: 165 	 scalery: 75
scalerx: 180 	 scalery: 75
scalerx: 195 	 scalery: 75
scalerx: 210 	 scalery: 75
scalerx: 225 	 scalery: 75
scalerx: 240 	 scalery: 75
scalerx: 255 	 scalery: 75
scalerx: 270 	 scalery: 75
scalerx: 285 	 scalery: 75
scalerx: 0 	 scalery: 90
scalerx: 15 	 scalery: 90
scalerx: 30 	 scalery: 90
scalerx: 45 	 scalery: 90
scalerx: 60 	 scalery: 90
scalerx: 75 	 scalery: 90
scalerx: 90 	 scalery: 90
scalerx: 105 	 scalery: 90
scalerx: 120 	 scalery: 90
scalerx: 135 	 scalery: 90
scalerx: 150 	 scalery: 90
scalerx: 165 	 scalery: 90
scalerx: 180 	 scalery: 90
scalerx: 195 	 scalery: 90
scalerx: 210 	 scalery: 90
scalerx: 225 	 scalery: 90
scalerx: 240 	 scalery: 90
scalerx: 255 	 scalery: 90
scalerx: 270 	 scalery: 90
scalerx: 285 	 scalery: 90
scalerx: 0 	 scalery: 105
scalerx: 15 	 scalery: 105
scalerx: 30 	 scalery: 105
scalerx: 45 	 scalery: 105
scalerx: 60 	 scalery: 105
scalerx: 75 	 scalery: 105
scalerx: 90 	 scalery: 105
scalerx: 105 	 scalery: 105
scalerx: 120 	 scalery: 105
scalerx: 135 	 scalery: 105
scalerx: 150 	 scalery: 105
scalerx: 165 	 scalery: 105
scalerx: 180 	 scalery: 105
scalerx: 195 	 scalery: 105
scalerx: 210 	 scalery: 105
scalerx: 225 	 scalery: 105
scalerx: 240 	 scalery: 105
scalerx: 255 	 scalery: 105
scalerx: 270 	 scalery: 105
scalerx: 285 	 scalery: 105
scalerx: 0 	 scalery: 120
scalerx: 15 	 scalery: 120
scalerx: 30 	 scalery: 120
scalerx: 45 	 scalery: 120
scalerx: 60 	 scalery: 120
scalerx: 75 	 scalery: 120
scalerx: 90 	 scalery: 120
scalerx: 105 	 scalery: 120
scalerx: 120 	 scalery: 120
scalerx: 135 	 scalery: 120
scalerx: 150 	 scalery: 120
scalerx: 165 	 scalery: 120
scalerx: 180 	 scalery: 120
scalerx: 195 	 scalery: 120
scalerx: 210 	 scalery: 120
scalerx: 225 	 scalery: 120
scalerx: 240 	 scalery: 120
scalerx: 255 	 scalery: 120
scalerx: 270 	 scalery: 120
scalerx: 285 	 scalery: 120
scalerx: 0 	 scalery: 135
scalerx: 15 	 scalery: 135
scalerx: 30 	 scalery: 135
scalerx: 45 	 scalery: 135
scalerx: 60 	 scalery: 135
scalerx: 75 	 scalery: 135
scalerx: 90 	 scalery: 135
scalerx: 105 	 scalery: 135
scalerx: 120 	 scalery: 135
scalerx: 135 	 scalery: 135
scalerx: 150 	 scalery: 135
scalerx: 165 	 scalery: 135
scalerx: 180 	 scalery: 135
scalerx: 195 	 scalery: 135
scalerx: 210 	 scalery: 135
scalerx: 225 	 scalery: 135
scalerx: 240 	 scalery: 135
scalerx: 255 	 scalery: 135
scalerx: 270 	 scalery: 135
scalerx: 285 	 scalery: 135
scalerx: 0 	 scalery: 150
scalerx: 15 	 scalery: 150
scalerx: 30 	 scalery: 150
scalerx: 45 	 scalery: 150
scalerx: 60 	 scalery: 150
scalerx: 75 	 scalery: 150
scalerx: 90 	 scalery: 150
scalerx: 105 	 scalery: 150
scalerx: 120 	 scalery: 150
scalerx: 135 	 scalery: 150
scalerx: 150 	 scalery: 150
scalerx: 165 	 scalery: 150
scalerx: 180 	 scalery: 150
scalerx: 195 	 scalery: 150
scalerx: 210 	 scalery: 150
scalerx: 225 	 scalery: 150
scalerx: 240 	 scalery: 150
scalerx: 255 	 scalery: 150
scalerx: 270 	 scalery: 150
scalerx: 285 	 scalery: 150
scalerx: 0 	 scalery: 165
scalerx: 15 	 scalery: 165
scalerx: 30 	 scalery: 165
scalerx: 45 	 scalery: 165
scalerx: 60 	 scalery: 165
scalerx: 75 	 scalery: 165
scalerx: 90 	 scalery: 165
scalerx: 105 	 scalery: 165
scalerx: 120 	 scalery: 165
scalerx: 135 	 scalery: 165
scalerx: 150 	 scalery: 165
scalerx: 165 	 scalery: 165
scalerx: 180 	 scalery: 165
scalerx: 195 	 scalery: 165
scalerx: 210 	 scalery: 165
scalerx: 225 	 scalery: 165
scalerx: 240 	 scalery: 165
scalerx: 255 	 scalery: 165
scalerx: 270 	 scalery: 165
scalerx: 285 	 scalery: 165
scalerx: 0 	 scalery: 180
scalerx: 15 	 scalery: 180
scalerx: 30 	 scalery: 180
scalerx: 45 	 scalery: 180
scalerx: 60 	 scalery: 180
scalerx: 75 	 scalery: 180
scalerx: 90 	 scalery: 180
scalerx: 105 	 scalery: 180
scalerx: 120 	 scalery: 180
scalerx: 135 	 scalery: 180
scalerx: 150 	 scalery: 180
scalerx: 165 	 scalery: 180
scalerx: 180 	 scalery: 180
scalerx: 195 	 scalery: 180
scalerx: 210 	 scalery: 180
scalerx: 225 	 scalery: 180
scalerx: 240 	 scalery: 180
scalerx: 255 	 scalery: 180
scalerx: 270 	 scalery: 180
scalerx: 285 	 scalery: 180
scalerx: 0 	 scalery: 195
scalerx: 15 	 scalery: 195
scalerx: 30 	 scalery: 195
scalerx: 45 	 scalery: 195
scalerx: 60 	 scalery: 195
scalerx: 75 	 scalery: 195
scalerx: 90 	 scalery: 195
scalerx: 105 	 scalery: 195
scalerx: 120 	 scalery: 195
scalerx: 135 	 scalery: 195
scalerx: 150 	 scalery: 195
scalerx: 165 	 scalery: 195
scalerx: 180 	 scalery: 195
scalerx: 195 	 scalery: 195
scalerx: 210 	 scalery: 195
scalerx: 225 	 scalery: 195
scalerx: 240 	 scalery: 195
scalerx: 255 	 scalery: 195
scalerx: 270 	 scalery: 195
scalerx: 285 	 scalery: 195
scalerx: 0 	 scalery: 210
scalerx: 15 	 scalery: 210
scalerx: 30 	 scalery: 210
scalerx: 45 	 scalery: 210
scalerx: 60 	 scalery: 210
scalerx: 75 	 scalery: 210
scalerx: 90 	 scalery: 210
scalerx: 105 	 scalery: 210
scalerx: 120 	 scalery: 210
scalerx: 135 	 scalery: 210
scalerx: 150 	 scalery: 210
scalerx: 165 	 scalery: 210
scalerx: 180 	 scalery: 210
scalerx: 195 	 scalery: 210
scalerx: 210 	 scalery: 210
scalerx: 225 	 scalery: 210
scalerx: 240 	 scalery: 210
scalerx: 255 	 scalery: 210
scalerx: 270 	 scalery: 210
scalerx: 285 	 scalery: 210
scalerx: 0 	 scalery: 225
scalerx: 15 	 scalery: 225
scalerx: 30 	 scalery: 225
scalerx: 45 	 scalery: 225
scalerx: 60 	 scalery: 225
scalerx: 75 	 scalery: 225
scalerx: 90 	 scalery: 225
scalerx: 105 	 scalery: 225
scalerx: 120 	 scalery: 225
scalerx: 135 	 scalery: 225
scalerx: 150 	 scalery: 225
scalerx: 165 	 scalery: 225
scalerx: 180 	 scalery: 225
scalerx: 195 	 scalery: 225
scalerx: 210 	 scalery: 225
scalerx: 225 	 scalery: 225
scalerx: 240 	 scalery: 225
scalerx: 255 	 scalery: 225
scalerx: 270 	 scalery: 225
scalerx: 285 	 scalery: 225
scalerx: 0 	 scalery: 240
scalerx: 15 	 scalery: 240
scalerx: 30 	 scalery: 240
scalerx: 45 	 scalery: 240
scalerx: 60 	 scalery: 240
scalerx: 75 	 scalery: 240
scalerx: 90 	 scalery: 240
scalerx: 105 	 scalery: 240
scalerx: 120 	 scalery: 240
scalerx: 135 	 scalery: 240
scalerx: 150 	 scalery: 240
scalerx: 165 	 scalery: 240
scalerx: 180 	 scalery: 240
scalerx: 195 	 scalery: 240
scalerx: 210 	 scalery: 240
scalerx: 225 	 scalery: 240
scalerx: 240 	 scalery: 240
scalerx: 255 	 scalery: 240
scalerx: 270 	 scalery: 240
scalerx: 285 	 scalery: 240
scalerx: 0 	 scalery: 255
scalerx: 15 	 scalery: 255
scalerx: 30 	 scalery: 255
scalerx: 45 	 scalery: 255
scalerx: 60 	 scalery: 255
scalerx: 75 	 scalery: 255
scalerx: 90 	 scalery: 255
scalerx: 105 	 scalery: 255
scalerx: 120 	 scalery: 255
scalerx: 135 	 scalery: 255
scalerx: 150 	 scalery: 255
scalerx: 165 	 scalery: 255
scalerx: 180 	 scalery: 255
scalerx: 195 	 scalery: 255
scalerx: 210 	 scalery: 255
scalerx: 225 	 scalery: 255
scalerx: 240 	 scalery: 255
scalerx: 255 	 scalery: 255
scalerx: 270 	 scalery: 255
scalerx: 285 	 scalery: 255
scalerx: 0 	 scalery: 270
scalerx: 15 	 scalery: 270
scalerx: 30 	 scalery: 270
scalerx: 45 	 scalery: 270
scalerx: 60 	 scalery: 270
scalerx: 75 	 scalery: 270
scalerx: 90 	 scalery: 270
scalerx: 105 	 scalery: 270
scalerx: 120 	 scalery: 270
scalerx: 135 	 scalery: 270
scalerx: 150 	 scalery: 270
scalerx: 165 	 scalery: 270
scalerx: 180 	 scalery: 270
scalerx: 195 	 scalery: 270
scalerx: 210 	 scalery: 270
scalerx: 225 	 scalery: 270
scalerx: 240 	 scalery: 270
scalerx: 255 	 scalery: 270
scalerx: 270 	 scalery: 270
scalerx: 285 	 scalery: 270
scalerx: 0 	 scalery: 285
scalerx: 15 	 scalery: 285
scalerx: 30 	 scalery: 285
scalerx: 45 	 scalery: 285
scalerx: 60 	 scalery: 285
scalerx: 75 	 scalery: 285
scalerx: 90 	 scalery: 285
scalerx: 105 	 scalery: 285
scalerx: 120 	 scalery: 285
scalerx: 135 	 scalery: 285
scalerx: 150 	 scalery: 285
scalerx: 165 	 scalery: 285
scalerx: 180 	 scalery: 285
scalerx: 195 	 scalery: 285
scalerx: 210 	 scalery: 285
scalerx: 225 	 scalery: 285
scalerx: 240 	 scalery: 285
scalerx: 255 	 scalery: 285
scalerx: 270 	 scalery: 285
scalerx: 285 	 scalery: 285
scalerx: 0 	 scalery: 0
scalerx: 15 	 scalery: 0
scalerx: 30 	 scalery: 0
scalerx: 45 	 scalery: 0
scalerx: 60 	 scalery: 0
scalerx: 75 	 scalery: 0
scalerx: 90 	 scalery: 0
scalerx: 105 	 scalery: 0
scalerx: 120 	 scalery: 0
scalerx: 135 	 scalery: 0
scalerx: 150 	 scalery: 0
scalerx: 165 	 scalery: 0
scalerx: 180 	 scalery: 0
scalerx: 195 	 scalery: 0
scalerx: 210 	 scalery: 0
scalerx: 225 	 scalery: 0
scalerx: 240 	 scalery: 0
scalerx: 255 	 scalery: 0
scalerx: 270 	 scalery: 0
scalerx: 285 	 scalery: 0
scalerx: 0 	 scalery: 15
scalerx: 15 	 scalery: 15
scalerx: 30 	 scalery: 15
scalerx: 45 	 scalery: 15
scalerx: 60 	 scalery: 15
scalerx: 75 	 scalery: 15
scalerx: 90 	 scalery: 15
scalerx: 105 	 scalery: 15
scalerx: 120 	 scalery: 15
scalerx: 135 	 scalery: 15
scalerx: 150 	 scalery: 15
scalerx: 165 	 scalery: 15
scalerx: 180 	 scalery: 15
scalerx: 195 	 scalery: 15
scalerx: 210 	 scalery: 15
scalerx: 225 	 scalery: 15
scalerx: 240 	 scalery: 15
scalerx: 255 	 scalery: 15
scalerx: 270 	 scalery: 15
scalerx: 285 	 scalery: 15
scalerx: 0 	 scalery: 30
scalerx: 15 	 scalery: 30
scalerx: 30 	 scalery: 30
scalerx: 45 	 scalery: 30
scalerx: 60 	 scalery: 30
scalerx: 75 	 scalery: 30
scalerx: 90 	 scalery: 30
scalerx: 105 	 scalery: 30
scalerx: 120 	 scalery: 30
scalerx: 135 	 scalery: 30
scalerx: 150 	 scalery: 30
scalerx: 165 	 scalery: 30
scalerx: 180 	 scalery: 30
scalerx: 195 	 scalery: 30
scalerx: 210 	 scalery: 30
scalerx: 225 	 scalery: 30
scalerx: 240 	 scalery: 30
scalerx: 255 	 scalery: 30
scalerx: 270 	 scalery: 30
scalerx: 285 	 scalery: 30
scalerx: 0 	 scalery: 45
scalerx: 15 	 scalery: 45
scalerx: 30 	 scalery: 45
scalerx: 45 	 scalery: 45
scalerx: 60 	 scalery: 45
scalerx: 75 	 scalery: 45
scalerx: 90 	 scalery: 45
scalerx: 105 	 scalery: 45
scalerx: 120 	 scalery: 45
scalerx: 135 	 scalery: 45
scalerx: 150 	 scalery: 45
scalerx: 165 	 scalery: 45
scalerx: 180 	 scalery: 45
scalerx: 195 	 scalery: 45
scalerx: 210 	 scalery: 45
scalerx: 225 	 scalery: 45
scalerx: 240 	 scalery: 45
scalerx: 255 	 scalery: 45
scalerx: 270 	 scalery: 45
scalerx: 285 	 scalery: 45
scalerx: 0 	 scalery: 60
scalerx: 15 	 scalery: 60
scalerx: 30 	 scalery: 60
scalerx: 45 	 scalery: 60
scalerx: 60 	 scalery: 60
scalerx: 75 	 scalery: 60
scalerx: 90 	 scalery: 60
scalerx: 105 	 scalery: 60
scalerx: 120 	 scalery: 60
scalerx: 135 	 scalery: 60
scalerx: 150 	 scalery: 60
scalerx: 165 	 scalery: 60
scalerx: 180 	 scalery: 60
scalerx: 195 	 scalery: 60
scalerx: 210 	 scalery: 60
scalerx: 225 	 scalery: 60
scalerx: 240 	 scalery: 60
scalerx: 255 	 scalery: 60
scalerx: 270 	 scalery: 60
scalerx: 285 	 scalery: 60
scalerx: 0 	 scalery: 75
scalerx: 15 	 scalery: 75
scalerx: 30 	 scalery: 75
scalerx: 45 	 scalery: 75
scalerx: 60 	 scalery: 75
scalerx: 75 	 scalery: 75
scalerx: 90 	 scalery: 75
scalerx: 105 	 scalery: 75
scalerx: 120 	 scalery: 75
scalerx: 135 	 scalery: 75
scalerx: 150 	 scalery: 75
scalerx: 165 	 scalery: 75
scalerx: 180 	 scalery: 75
scalerx: 195 	 scalery: 75
scalerx: 210 	 scalery: 75
scalerx: 225 	 scalery: 75
scalerx: 240 	 scalery: 75
scalerx: 255 	 scalery: 75
scalerx: 270 	 scalery: 75
scalerx: 285 	 scalery: 75
scalerx: 0 	 scalery: 90
scalerx: 15 	 scalery: 90
scalerx: 30 	 scalery: 90
scalerx: 45 	 scalery: 90
scalerx: 60 	 scalery: 90
scalerx: 75 	 scalery: 90
scalerx: 90 	 scalery: 90
scalerx: 105 	 scalery: 90
scalerx: 120 	 scalery: 90
scalerx: 135 	 scalery: 90
scalerx: 150 	 scalery: 90
scalerx: 165 	 scalery: 90
scalerx: 180 	 scalery: 90
scalerx: 195 	 scalery: 90
scalerx: 210 	 scalery: 90
scalerx: 225 	 scalery: 90
scalerx: 240 	 scalery: 90
scalerx: 255 	 scalery: 90
scalerx: 270 	 scalery: 90
scalerx: 285 	 scalery: 90
scalerx: 0 	 scalery: 105
scalerx: 15 	 scalery: 105
scalerx: 30 	 scalery: 105
scalerx: 45 	 scalery: 105
scalerx: 60 	 scalery: 105
scalerx: 75 	 scalery: 105
scalerx: 90 	 scalery: 105
scalerx: 105 	 scalery: 105
scalerx: 120 	 scalery: 105
scalerx: 135 	 scalery: 105
scalerx: 150 	 scalery: 105
scalerx: 165 	 scalery: 105
scalerx: 180 	 scalery: 105
scalerx: 195 	 scalery: 105
scalerx: 210 	 scalery: 105
scalerx: 225 	 scalery: 105
scalerx: 240 	 scalery: 105
scalerx: 255 	 scalery: 105
scalerx: 270 	 scalery: 105
scalerx: 285 	 scalery: 105
scalerx: 0 	 scalery: 120
scalerx: 15 	 scalery: 120
scalerx: 30 	 scalery: 120
scalerx: 45 	 scalery: 120
scalerx: 60 	 scalery: 120
scalerx: 75 	 scalery: 120
scalerx: 90 	 scalery: 120
scalerx: 105 	 scalery: 120
scalerx: 120 	 scalery: 120
scalerx: 135 	 scalery: 120
scalerx: 150 	 scalery: 120
scalerx: 165 	 scalery: 120
scalerx: 180 	 scalery: 120
scalerx: 195 	 scalery: 120
scalerx: 210 	 scalery: 120
scalerx: 225 	 scalery: 120
scalerx: 240 	 scalery: 120
scalerx: 255 	 scalery: 120
scalerx: 270 	 scalery: 120
scalerx: 285 	 scalery: 120
scalerx: 0 	 scalery: 135
scalerx: 15 	 scalery: 135
scalerx: 30 	 scalery: 135
scalerx: 45 	 scalery: 135
scalerx: 60 	 scalery: 135
scalerx: 75 	 scalery: 135
scalerx: 90 	 scalery: 135
scalerx: 105 	 scalery: 135
scalerx: 120 	 scalery: 135
scalerx: 135 	 scalery: 135
scalerx: 150 	 scalery: 135
scalerx: 165 	 scalery: 135
scalerx: 180 	 scalery: 135
scalerx: 195 	 scalery: 135
scalerx: 210 	 scalery: 135
scalerx: 225 	 scalery: 135
scalerx: 240 	 scalery: 135
scalerx: 255 	 scalery: 135
scalerx: 270 	 scalery: 135
scalerx: 285 	 scalery: 135
scalerx: 0 	 scalery: 150
scalerx: 15 	 scalery: 150
scalerx: 30 	 scalery: 150
scalerx: 45 	 scalery: 150
scalerx: 60 	 scalery: 150
scalerx: 75 	 scalery: 150
scalerx: 90 	 scalery: 150
scalerx: 105 	 scalery: 150
scalerx: 120 	 scalery: 150
scalerx: 135 	 scalery: 150
scalerx: 150 	 scalery: 150
scalerx: 165 	 scalery: 150
scalerx: 180 	 scalery: 150
scalerx: 195 	 scalery: 150
scalerx: 210 	 scalery: 150
scalerx: 225 	 scalery: 150
scalerx: 240 	 scalery: 150
scalerx: 255 	 scalery: 150
scalerx: 270 	 scalery: 150
scalerx: 285 	 scalery: 150
scalerx: 0 	 scalery: 165
scalerx: 15 	 scalery: 165
scalerx: 30 	 scalery: 165
scalerx: 45 	 scalery: 165
scalerx: 60 	 scalery: 165
scalerx: 75 	 scalery: 165
scalerx: 90 	 scalery: 165
scalerx: 105 	 scalery: 165
scalerx: 120 	 scalery: 165
scalerx: 135 	 scalery: 165
scalerx: 150 	 scalery: 165
scalerx: 165 	 scalery: 165
scalerx: 180 	 scalery: 165
scalerx: 195 	 scalery: 165
scalerx: 210 	 scalery: 165
scalerx: 225 	 scalery: 165
scalerx: 240 	 scalery: 165
scalerx: 255 	 scalery: 165
scalerx: 270 	 scalery: 165
scalerx: 285 	 scalery: 165
scalerx: 0 	 scalery: 180
scalerx: 15 	 scalery: 180
scalerx: 30 	 scalery: 180
scalerx: 45 	 scalery: 180
scalerx: 60 	 scalery: 180
scalerx: 75 	 scalery: 180
scalerx: 90 	 scalery: 180
scalerx: 105 	 scalery: 180
scalerx: 120 	 scalery: 180
scalerx: 135 	 scalery: 180
scalerx: 150 	 scalery: 180
scalerx: 165 	 scalery: 180
scalerx: 180 	 scalery: 180
scalerx: 195 	 scalery: 180
scalerx: 210 	 scalery: 180
scalerx: 225 	 scalery: 180
scalerx: 240 	 scalery: 180
scalerx: 255 	 scalery: 180
scalerx: 270 	 scalery: 180
scalerx: 285 	 scalery: 180
scalerx: 0 	 scalery: 195
scalerx: 15 	 scalery: 195
scalerx: 30 	 scalery: 195
scalerx: 45 	 scalery: 195
scalerx: 60 	 scalery: 195
scalerx: 75 	 scalery: 195
scalerx: 90 	 scalery: 195
scalerx: 105 	 scalery: 195
scalerx: 120 	 scalery: 195
scalerx: 135 	 scalery: 195
scalerx: 150 	 scalery: 195
scalerx: 165 	 scalery: 195
scalerx: 180 	 scalery: 195
scalerx: 195 	 scalery: 195
scalerx: 210 	 scalery: 195
scalerx: 225 	 scalery: 195
scalerx: 240 	 scalery: 195
scalerx: 255 	 scalery: 195
scalerx: 270 	 scalery: 195
scalerx: 285 	 scalery: 195
scalerx: 0 	 scalery: 210
scalerx: 15 	 scalery: 210
scalerx: 30 	 scalery: 210
scalerx: 45 	 scalery: 210
scalerx: 60 	 scalery: 210
scalerx: 75 	 scalery: 210
scalerx: 90 	 scalery: 210
scalerx: 105 	 scalery: 210
scalerx: 120 	 scalery: 210
scalerx: 135 	 scalery: 210
scalerx: 150 	 scalery: 210
scalerx: 165 	 scalery: 210
scalerx: 180 	 scalery: 210
scalerx: 195 	 scalery: 210
scalerx: 210 	 scalery: 210
scalerx: 225 	 scalery: 210
scalerx: 240 	 scalery: 210
scalerx: 255 	 scalery: 210
scalerx: 270 	 scalery: 210
scalerx: 285 	 scalery: 210
scalerx: 0 	 scalery: 225
scalerx: 15 	 scalery: 225
scalerx: 30 	 scalery: 225
scalerx: 45 	 scalery: 225
scalerx: 60 	 scalery: 225
scalerx: 75 	 scalery: 225
scalerx: 90 	 scalery: 225
scalerx: 105 	 scalery: 225
scalerx: 120 	 scalery: 225
scalerx: 135 	 scalery: 225
scalerx: 150 	 scalery: 225
scalerx: 165 	 scalery: 225
scalerx: 180 	 scalery: 225
scalerx: 195 	 scalery: 225
scalerx: 210 	 scalery: 225
scalerx: 225 	 scalery: 225
scalerx: 240 	 scalery: 225
scalerx: 255 	 scalery: 225
scalerx: 270 	 scalery: 225
scalerx: 285 	 scalery: 225
scalerx: 0 	 scalery: 240
scalerx: 15 	 scalery: 240
scalerx: 30 	 scalery: 240
scalerx: 45 	 scalery: 240
scalerx: 60 	 scalery: 240
scalerx: 75 	 scalery: 240
scalerx: 90 	 scalery: 240
scalerx: 105 	 scalery: 240
scalerx: 120 	 scalery: 240
scalerx: 135 	 scalery: 240
scalerx: 150 	 scalery: 240
scalerx: 165 	 scalery: 240
scalerx: 180 	 scalery: 240
scalerx: 195 	 scalery: 240
scalerx: 210 	 scalery: 240
scalerx: 225 	 scalery: 240
scalerx: 240 	 scalery: 240
scalerx: 255 	 scalery: 240
scalerx: 270 	 scalery: 240
scalerx: 285 	 scalery: 240
scalerx: 0 	 scalery: 255
scalerx: 15 	 scalery: 255
scalerx: 30 	 scalery: 255
scalerx: 45 	 scalery: 255
scalerx: 60 	 scalery: 255
scalerx: 75 	 scalery: 255
scalerx: 90 	 scalery: 255
scalerx: 105 	 scalery: 255
scalerx: 120 	 scalery: 255
scalerx: 135 	 scalery: 255
scalerx: 150 	 scalery: 255
scalerx: 165 	 scalery: 255
scalerx: 180 	 scalery: 255
scalerx: 195 	 scalery: 255
scalerx: 210 	 scalery: 255
scalerx: 225 	 scalery: 255
scalerx: 240 	 scalery: 255
scalerx: 255 	 scalery: 255
scalerx: 270 	 scalery: 255
scalerx: 285 	 scalery: 255
scalerx: 0 	 scalery: 270
scalerx: 15 	 scalery: 270
scalerx: 30 	 scalery: 270
scalerx: 45 	 scalery: 270
scalerx: 60 	 scalery: 270
scalerx: 75 	 scalery: 270
scalerx: 90 	 scalery: 270
scalerx: 105 	 scalery: 270
scalerx: 120 	 scalery: 270
scalerx: 135 	 scalery: 270
scalerx: 150 	 scalery: 270
scalerx: 165 	 scalery: 270
scalerx: 180 	 scalery: 270
scalerx: 195 	 scalery: 270
scalerx: 210 	 scalery: 270
scalerx: 225 	 scalery: 270
scalerx: 240 	 scalery: 270
scalerx: 255 	 scalery: 270
scalerx: 270 	 scalery: 270
scalerx: 285 	 scalery: 270
scalerx: 0 	 scalery: 285
scalerx: 15 	 scalery: 285
scalerx: 30 	 scalery: 285
scalerx: 45 	 scalery: 285
scalerx: 60 	 scalery: 285
scalerx: 75 	 scalery: 285
scalerx: 90 	 scalery: 285
scalerx: 105 	 scalery: 285
scalerx: 120 	 scalery: 285
scalerx: 135 	 scalery: 285
scalerx: 150 	 scalery: 285
scalerx: 165 	 scalery: 285
scalerx: 180 	 scalery: 285
scalerx: 195 	 scalery: 285
scalerx: 210 	 scalery: 285
scalerx: 225 	 scalery: 285
scalerx: 240 	 scalery: 285
scalerx: 255 	 scalery: 285
scalerx: 270 	 scalery: 285
scalerx: 285 	 scalery: 285
scalerx: 0 	 scalery: 0
scalerx: 15 	 scalery: 0
scalerx: 30 	 scalery: 0
scalerx: 45 	 scalery: 0
scalerx: 60 	 scalery: 0
scalerx: 75 	 scalery: 0
scalerx: 90 	 scalery: 0
scalerx: 105 	 scalery: 0
scalerx: 120 	 scalery: 0
scalerx: 135 	 scalery: 0
scalerx: 150 	 scalery: 0
scalerx: 165 	 scalery: 0
scalerx: 180 	 scalery: 0
scalerx: 195 	 scalery: 0
scalerx: 210 	 scalery: 0
scalerx: 225 	 scalery: 0
scalerx: 240 	 scalery: 0
scalerx: 255 	 scalery: 0
scalerx: 270 	 scalery: 0
scalerx: 285 	 scalery: 0
scalerx: 0 	 scalery: 15
scalerx: 15 	 scalery: 15
scalerx: 30 	 scalery: 15
scalerx: 45 	 scalery: 15
scalerx: 60 	 scalery: 15
scalerx: 75 	 scalery: 15
scalerx: 90 	 scalery: 15
scalerx: 105 	 scalery: 15
scalerx: 120 	 scalery: 15
scalerx: 135 	 scalery: 15
scalerx: 150 	 scalery: 15
scalerx: 165 	 scalery: 15
scalerx: 180 	 scalery: 15
scalerx: 195 	 scalery: 15
scalerx: 210 	 scalery: 15
scalerx: 225 	 scalery: 15
scalerx: 240 	 scalery: 15
scalerx: 255 	 scalery: 15
scalerx: 270 	 scalery: 15
scalerx: 285 	 scalery: 15
scalerx: 0 	 scalery: 30
scalerx: 15 	 scalery: 30
scalerx: 30 	 scalery: 30
scalerx: 45 	 scalery: 30
scalerx: 60 	 scalery: 30
scalerx: 75 	 scalery: 30
scalerx: 90 	 scalery: 30
scalerx: 105 	 scalery: 30
scalerx: 120 	 scalery: 30
scalerx: 135 	 scalery: 30
scalerx: 150 	 scalery: 30
scalerx: 165 	 scalery: 30
scalerx: 180 	 scalery: 30
scalerx: 195 	 scalery: 30
scalerx: 210 	 scalery: 30
